"","V1"
1,1
2,2
3,2
4,1
5,2
6,2
7,3
8,2
9,3
10,2
11,2
12,2
13,3
14,1
15,3
16,2
17,3
18,3
19,3
20,1
21,2
22,3
23,3
24,3
25,3
26,3
27,4
28,3
29,4
30,3
31,3
32,3
33,3
34,4
35,4
36,4
37,4
38,3
39,3
40,4
41,3
42,3
43,3
44,3
45,3
46,4
47,4
48,4
49,4
50,4
51,3
52,4
53,3
54,4
55,4
56,4
57,4
58,3
59,4
60,3
61,4
62,4
63,4
64,4
65,3
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
